tripID,description,feature
729,215,Total Passenger Weight:
729,20,Total Cargo Weight:
729,35,Tire Pressure:
729,26.91,Frontal Area of Car:
704,60,Outside Temperature:
704,210,Total Passenger Weight:
704,0,Total Cargo Weight:
704,35,Tire Pressure:
704,26.91,Frontal Area of Car:
706,60,Outside Temperature:
706,215,Total Passenger Weight:
706,25,Total Cargo Weight:
706,35,Tire Pressure:
706,26.91,Frontal Area of Car:
702,65,Outside Temperature:
702,210,Total Passenger Weight:
702,0,Total Cargo Weight:
702,35,Tire Pressure:
702,26.91,Frontal Area of Car:
727,50,Outside Temperature:
727,215,Total Passenger Weight:
727,20,Total Cargo Weight:
727,35,Tire Pressure:
727,26.91,Frontal Area of Car:
694,67,Outside Temperature:
694,210,Total Passenger Weight:
694,5,Total Cargo Weight:
694,35,Tire Pressure:
694,26.91,Frontal Area of Car:
696,55,Outside Temperature:
696,210,Total Passenger Weight:
696,0,Total Cargo Weight:
696,35,Tire Pressure:
696,26.91,Frontal Area of Car:
718,32,Outside Temperature:
718,215,Total Passenger Weight:
718,25,Total Cargo Weight:
718,35,Tire Pressure:
718,26.91,Frontal Area of Car:
723,45,Outside Temperature:
723,215,Total Passenger Weight:
723,20,Total Cargo Weight:
723,35,Tire Pressure:
723,26.91,Frontal Area of Car:
720,60,Outside Temperature:
720,380,Total Passenger Weight:
720,20,Total Cargo Weight:
720,35,Tire Pressure:
720,26.91,Frontal Area of Car:
737,46,Outside Temperature:
737,215,Total Passenger Weight:
737,20,Total Cargo Weight:
737,35,Tire Pressure:
737,26.91,Frontal Area of Car:
700,70,Outside Temperature:
700,210,Total Passenger Weight:
700,0,Total Cargo Weight:
700,35,Tire Pressure:
700,26.91,Frontal Area of Car:
714,30,Outside Temperature:
714,215,Total Passenger Weight:
714,25,Total Cargo Weight:
714,35,Tire Pressure:
714,26.91,Frontal Area of Car:
740,44,Outside Temperature:
740,215,Total Passenger Weight:
740,20,Total Cargo Weight:
740,35,Tire Pressure:
740,26.91,Frontal Area of Car:
725,54,Outside Temperature:
725,215,Total Passenger Weight:
725,20,Total Cargo Weight:
725,35,Tire Pressure:
725,26.91,Frontal Area of Car:
742,54,Outside Temperature:
742,385,Total Passenger Weight:
742,20,Total Cargo Weight:
742,35,Tire Pressure:
742,26.91,Frontal Area of Car:
733,50,Outside Temperature:
733,215,Total Passenger Weight:
733,20,Total Cargo Weight:
733,35,Tire Pressure:
733,26.91,Frontal Area of Car:
735,58,Outside Temperature:
735,215,Total Passenger Weight:
735,20,Total Cargo Weight:
735,35,Tire Pressure:
735,26.91,Frontal Area of Car:
721,60,Outside Temperature:
721,380,Total Passenger Weight:
721,20,Total Cargo Weight:
721,35,Tire Pressure:
721,26.91,Frontal Area of Car:
736,74,Outside Temperature:
736,215,Total Passenger Weight:
736,20,Total Cargo Weight:
736,35,Tire Pressure:
736,26.91,Frontal Area of Car:
719,60,Outside Temperature:
719,215,Total Passenger Weight:
719,15,Total Cargo Weight:
719,35,Tire Pressure:
719,26.91,Frontal Area of Car:
699,80,Outside Temperature:
699,210,Total Passenger Weight:
699,0,Total Cargo Weight:
699,35,Tire Pressure:
699,26.91,Frontal Area of Car:
708,67,Outside Temperature:
708,215,Total Passenger Weight:
708,15,Total Cargo Weight:
708,35,Tire Pressure:
708,26.91,Frontal Area of Car:
695,75,Outside Temperature:
695,210,Total Passenger Weight:
695,0,Total Cargo Weight:
695,35,Tire Pressure:
695,26.91,Frontal Area of Car:
732,54,Outside Temperature:
732,215,Total Passenger Weight:
732,20,Total Cargo Weight:
732,35,Tire Pressure:
732,26.91,Frontal Area of Car:
693,80,Outside Temperature:
693,210,Total Passenger Weight:
693,100,Total Cargo Weight:
693,35,Tire Pressure:
693,26.91,Frontal Area of Car:
710,53,Outside Temperature:
710,215,Total Passenger Weight:
710,25,Total Cargo Weight:
710,35,Tire Pressure:
710,26.91,Frontal Area of Car:
730,48,Outside Temperature:
730,215,Total Passenger Weight:
730,20,Total Cargo Weight:
730,35,Tire Pressure:
730,26.91,Frontal Area of Car:
703,75,Outside Temperature:
703,210,Total Passenger Weight:
703,0,Total Cargo Weight:
703,35,Tire Pressure:
703,26.91,Frontal Area of Car:
728,55,Outside Temperature:
728,215,Total Passenger Weight:
728,20,Total Cargo Weight:
728,35,Tire Pressure:
728,26.91,Frontal Area of Car:
739,35,Outside Temperature:
739,215,Total Passenger Weight:
739,20,Total Cargo Weight:
739,35,Tire Pressure:
739,26.91,Frontal Area of Car:
724,68,Outside Temperature:
724,215,Total Passenger Weight:
724,20,Total Cargo Weight:
724,35,Tire Pressure:
724,26.91,Frontal Area of Car:
734,70,Outside Temperature:
734,215,Total Passenger Weight:
734,20,Total Cargo Weight:
734,35,Tire Pressure:
734,26.91,Frontal Area of Car:
717,50,Outside Temperature:
717,215,Total Passenger Weight:
717,25,Total Cargo Weight:
717,35,Tire Pressure:
717,26.91,Frontal Area of Car:
738,79,Outside Temperature:
738,215,Total Passenger Weight:
738,20,Total Cargo Weight:
738,35,Tire Pressure:
738,26.91,Frontal Area of Car:
697,85,Outside Temperature:
697,210,Total Passenger Weight:
697,0,Total Cargo Weight:
697,35,Tire Pressure:
697,26.91,Frontal Area of Car:
741,58,Outside Temperature:
741,215,Total Passenger Weight:
741,20,Total Cargo Weight:
741,35,Tire Pressure:
741,26.91,Frontal Area of Car:
707,80,Outside Temperature:
707,215,Total Passenger Weight:
707,100,Total Cargo Weight:
707,35,Tire Pressure:
707,26.91,Frontal Area of Car:
726,56,Outside Temperature:
726,215,Total Passenger Weight:
726,100,Total Cargo Weight:
726,35,Tire Pressure:
726,26.91,Frontal Area of Car:
701,82,Outside Temperature:
701,210,Total Passenger Weight:
701,0,Total Cargo Weight:
701,35,Tire Pressure:
701,26.91,Frontal Area of Car:
582,20,Outside Temperature:
582,200,Total Passenger Weight:
582,10,Total Cargo Weight:
582,32,Tire Pressure:
582,26.91,Frontal Area of Car:
577,29,Outside Temperature:
577,200,Total Passenger Weight:
577,10,Total Cargo Weight:
577,32,Tire Pressure:
577,26.91,Frontal Area of Car:
584,20,Outside Temperature:
584,200,Total Passenger Weight:
584,10,Total Cargo Weight:
584,32,Tire Pressure:
584,26.91,Frontal Area of Car:
610,46,Outside Temperature:
610,146,Total Passenger Weight:
610,60,Total Cargo Weight:
610,29,Tire Pressure:
610,30.03,Frontal Area of Car:
612,40,Outside Temperature:
612,146,Total Passenger Weight:
612,40,Total Cargo Weight:
612,29,Tire Pressure:
612,30.03,Frontal Area of Car:
705,68,Outside Temperature:
705,215,Total Passenger Weight:
705,25,Total Cargo Weight:
705,35,Tire Pressure:
705,26.91,Frontal Area of Car:
579,28,Outside Temperature:
579,200,Total Passenger Weight:
579,10,Total Cargo Weight:
579,32,Tire Pressure:
579,26.91,Frontal Area of Car:
575,34,Outside Temperature:
575,200,Total Passenger Weight:
575,10,Total Cargo Weight:
575,33,Tire Pressure:
575,26.91,Frontal Area of Car:
339,50,Outside Temperature:
339,150,Total Passenger Weight:
339,50,Total Cargo Weight:
339,missing,Tire Pressure:
339,26.91,Frontal Area of Car:
317,40,Outside Temperature:
317,150,Total Passenger Weight:
317,50,Total Cargo Weight:
317,missing,Tire Pressure:
317,26.91,Frontal Area of Car:
292,60,Outside Temperature:
292,150,Total Passenger Weight:
292,50,Total Cargo Weight:
292,missing,Tire Pressure:
292,26.91,Frontal Area of Car:
385,55,Outside Temperature:
385,150,Total Passenger Weight:
385,50,Total Cargo Weight:
385,missing,Tire Pressure:
385,26.91,Frontal Area of Car:
604,69,Outside Temperature:
604,350,Total Passenger Weight:
604,15,Total Cargo Weight:
604,30,Tire Pressure:
604,26.91,Frontal Area of Car:
608,63,Outside Temperature:
608,350,Total Passenger Weight:
608,10,Total Cargo Weight:
608,30,Tire Pressure:
608,26.91,Frontal Area of Car:
386,55,Outside Temperature:
386,375,Total Passenger Weight:
386,100,Total Cargo Weight:
386,missing,Tire Pressure:
386,26.91,Frontal Area of Car:
601,70,Outside Temperature:
601,350,Total Passenger Weight:
601,50,Total Cargo Weight:
601,30,Tire Pressure:
601,26.91,Frontal Area of Car:
573,34,Outside Temperature:
573,350,Total Passenger Weight:
573,50,Total Cargo Weight:
573,33,Tire Pressure:
573,26.91,Frontal Area of Car:
310,54,Outside Temperature:
310,195,Total Passenger Weight:
310,0,Total Cargo Weight:
310,30,Tire Pressure:
310,26.91,Frontal Area of Car:
311,40,Outside Temperature:
311,195,Total Passenger Weight:
311,0,Total Cargo Weight:
311,28,Tire Pressure:
311,26.91,Frontal Area of Car:
578,30,Outside Temperature:
578,200,Total Passenger Weight:
578,10,Total Cargo Weight:
578,32,Tire Pressure:
578,26.91,Frontal Area of Car:
556,28,Outside Temperature:
556,199,Total Passenger Weight:
556,10,Total Cargo Weight:
556,30,Tire Pressure:
556,26.91,Frontal Area of Car:
603,73,Outside Temperature:
603,350,Total Passenger Weight:
603,15,Total Cargo Weight:
603,30,Tire Pressure:
603,26.91,Frontal Area of Car:
581,22,Outside Temperature:
581,200,Total Passenger Weight:
581,10,Total Cargo Weight:
581,31,Tire Pressure:
581,26.91,Frontal Area of Car:
600,35,Outside Temperature:
600,200,Total Passenger Weight:
600,10,Total Cargo Weight:
600,30,Tire Pressure:
600,26.91,Frontal Area of Car:
605,69,Outside Temperature:
605,200,Total Passenger Weight:
605,15,Total Cargo Weight:
605,30,Tire Pressure:
605,26.91,Frontal Area of Car:
576,24,Outside Temperature:
576,200,Total Passenger Weight:
576,10,Total Cargo Weight:
576,33,Tire Pressure:
576,26.91,Frontal Area of Car:
312,42,Outside Temperature:
312,195,Total Passenger Weight:
312,0,Total Cargo Weight:
312,28,Tire Pressure:
312,26.91,Frontal Area of Car:
585,7,Outside Temperature:
585,200,Total Passenger Weight:
585,10,Total Cargo Weight:
585,31,Tire Pressure:
585,26.91,Frontal Area of Car:
580,30,Outside Temperature:
580,200,Total Passenger Weight:
580,10,Total Cargo Weight:
580,32,Tire Pressure:
580,26.91,Frontal Area of Car:
583,9,Outside Temperature:
583,200,Total Passenger Weight:
583,10,Total Cargo Weight:
583,32,Tire Pressure:
583,26.91,Frontal Area of Car:
607,63,Outside Temperature:
607,350,Total Passenger Weight:
607,10,Total Cargo Weight:
607,30,Tire Pressure:
607,26.91,Frontal Area of Car:
606,75,Outside Temperature:
606,200,Total Passenger Weight:
606,15,Total Cargo Weight:
606,30,Tire Pressure:
606,26.91,Frontal Area of Car:
318,40,Outside Temperature:
318,150,Total Passenger Weight:
318,50,Total Cargo Weight:
318,missing,Tire Pressure:
318,26.91,Frontal Area of Car:
324,40,Outside Temperature:
324,195,Total Passenger Weight:
324,0,Total Cargo Weight:
324,28,Tire Pressure:
324,26.91,Frontal Area of Car:
387,50,Outside Temperature:
387,375,Total Passenger Weight:
387,100,Total Cargo Weight:
387,36,Tire Pressure:
387,26.91,Frontal Area of Car:
648,66,Outside Temperature:
648,154,Total Passenger Weight:
648,50,Total Cargo Weight:
648,35,Tire Pressure:
648,18.3,Frontal Area of Car:
260,52,Outside Temperature:
260,160,Total Passenger Weight:
260,30,Total Cargo Weight:
260,missing,Tire Pressure:
260,28.63,Frontal Area of Car:
298,50,Outside Temperature:
298,175,Total Passenger Weight:
298,20,Total Cargo Weight:
298,missing,Tire Pressure:
298,26.91,Frontal Area of Car:
327,50,Outside Temperature:
327,175,Total Passenger Weight:
327,30,Total Cargo Weight:
327,missing,Tire Pressure:
327,26.91,Frontal Area of Car:
326,40,Outside Temperature:
326,175,Total Passenger Weight:
326,30,Total Cargo Weight:
326,missing,Tire Pressure:
326,26.91,Frontal Area of Car:
395,43,Outside Temperature:
395,150,Total Passenger Weight:
395,100,Total Cargo Weight:
395,missing,Tire Pressure:
395,29.28,Frontal Area of Car:
301,58,Outside Temperature:
301,175,Total Passenger Weight:
301,20,Total Cargo Weight:
301,missing,Tire Pressure:
301,26.91,Frontal Area of Car:
396,43,Outside Temperature:
396,165,Total Passenger Weight:
396,100,Total Cargo Weight:
396,missing,Tire Pressure:
396,29.28,Frontal Area of Car:
394,43,Outside Temperature:
394,165,Total Passenger Weight:
394,50,Total Cargo Weight:
394,missing,Tire Pressure:
394,29.28,Frontal Area of Car:
554,50,Outside Temperature:
554,160,Total Passenger Weight:
554,60,Total Cargo Weight:
554,32,Tire Pressure:
554,26.91,Frontal Area of Car:
397,43,Outside Temperature:
397,165,Total Passenger Weight:
397,100,Total Cargo Weight:
397,missing,Tire Pressure:
397,29.28,Frontal Area of Car:
316,60,Outside Temperature:
316,230,Total Passenger Weight:
316,300,Total Cargo Weight:
316,missing,Tire Pressure:
316,26.91,Frontal Area of Car:
513,55,Outside Temperature:
513,500,Total Passenger Weight:
513,5,Total Cargo Weight:
513,missing,Tire Pressure:
513,28.63,Frontal Area of Car:
510,48,Outside Temperature:
510,185,Total Passenger Weight:
510,5,Total Cargo Weight:
510,missing,Tire Pressure:
510,28.63,Frontal Area of Car:
505,52,Outside Temperature:
505,185,Total Passenger Weight:
505,5,Total Cargo Weight:
505,missing,Tire Pressure:
505,28.63,Frontal Area of Car:
511,55,Outside Temperature:
511,500,Total Passenger Weight:
511,5,Total Cargo Weight:
511,missing,Tire Pressure:
511,28.63,Frontal Area of Car:
514,55,Outside Temperature:
514,500,Total Passenger Weight:
514,5,Total Cargo Weight:
514,missing,Tire Pressure:
514,28.63,Frontal Area of Car:
288,64,Outside Temperature:
288,230,Total Passenger Weight:
288,300,Total Cargo Weight:
288,missing,Tire Pressure:
288,26.91,Frontal Area of Car:
330,55,Outside Temperature:
330,230,Total Passenger Weight:
330,300,Total Cargo Weight:
330,missing,Tire Pressure:
330,26.91,Frontal Area of Car:
516,55,Outside Temperature:
516,500,Total Passenger Weight:
516,5,Total Cargo Weight:
516,missing,Tire Pressure:
516,28.63,Frontal Area of Car:
506,60,Outside Temperature:
506,185,Total Passenger Weight:
506,5,Total Cargo Weight:
506,missing,Tire Pressure:
506,28.63,Frontal Area of Car:
390,40,Outside Temperature:
390,1,Total Passenger Weight:
390,75,Total Cargo Weight:
390,28,Tire Pressure:
390,29.28,Frontal Area of Car:
508,48,Outside Temperature:
508,185,Total Passenger Weight:
508,5,Total Cargo Weight:
508,missing,Tire Pressure:
508,28.63,Frontal Area of Car:
476,52,Outside Temperature:
476,160,Total Passenger Weight:
476,0,Total Cargo Weight:
476,33,Tire Pressure:
476,28.63,Frontal Area of Car:
340,52,Outside Temperature:
340,175,Total Passenger Weight:
340,30,Total Cargo Weight:
340,34,Tire Pressure:
340,26.91,Frontal Area of Car:
374,50,Outside Temperature:
374,200,Total Passenger Weight:
374,0,Total Cargo Weight:
374,41,Tire Pressure:
374,30.03,Frontal Area of Car:
509,48,Outside Temperature:
509,185,Total Passenger Weight:
509,5,Total Cargo Weight:
509,missing,Tire Pressure:
509,28.63,Frontal Area of Car:
299,45,Outside Temperature:
299,265,Total Passenger Weight:
299,0,Total Cargo Weight:
299,36,Tire Pressure:
299,28.63,Frontal Area of Car:
300,50,Outside Temperature:
300,265,Total Passenger Weight:
300,0,Total Cargo Weight:
300,36,Tire Pressure:
300,28.63,Frontal Area of Car:
391,45,Outside Temperature:
391,160,Total Passenger Weight:
391,25,Total Cargo Weight:
391,28,Tire Pressure:
391,29.28,Frontal Area of Car:
266,37,Outside Temperature:
266,265,Total Passenger Weight:
266,0,Total Cargo Weight:
266,36,Tire Pressure:
266,28.63,Frontal Area of Car:
290,40,Outside Temperature:
290,300,Total Passenger Weight:
290,75,Total Cargo Weight:
290,28,Tire Pressure:
290,29.28,Frontal Area of Car:
496,47,Outside Temperature:
496,155,Total Passenger Weight:
496,35,Total Cargo Weight:
496,missing,Tire Pressure:
496,29.28,Frontal Area of Car:
303,45,Outside Temperature:
303,195,Total Passenger Weight:
303,50,Total Cargo Weight:
303,missing,Tire Pressure:
303,29.28,Frontal Area of Car:
207,50,Outside Temperature:
207,195,Total Passenger Weight:
207,50,Total Cargo Weight:
207,missing,Tire Pressure:
207,29.28,Frontal Area of Car:
499,45,Outside Temperature:
499,155,Total Passenger Weight:
499,35,Total Cargo Weight:
499,missing,Tire Pressure:
499,29.28,Frontal Area of Car:
495,46,Outside Temperature:
495,155,Total Passenger Weight:
495,28,Total Cargo Weight:
495,missing,Tire Pressure:
495,29.28,Frontal Area of Car:
494,46,Outside Temperature:
494,450,Total Passenger Weight:
494,257,Total Cargo Weight:
494,missing,Tire Pressure:
494,29.28,Frontal Area of Car:
497,55,Outside Temperature:
497,155,Total Passenger Weight:
497,35,Total Cargo Weight:
497,missing,Tire Pressure:
497,29.28,Frontal Area of Car:
305,58,Outside Temperature:
305,195,Total Passenger Weight:
305,10,Total Cargo Weight:
305,missing,Tire Pressure:
305,29.28,Frontal Area of Car:
304,50,Outside Temperature:
304,340,Total Passenger Weight:
304,50,Total Cargo Weight:
304,missing,Tire Pressure:
304,29.28,Frontal Area of Car:
498,52,Outside Temperature:
498,155,Total Passenger Weight:
498,35,Total Cargo Weight:
498,missing,Tire Pressure:
498,29.28,Frontal Area of Car:
113,80,Outside Temperature:
113,150,Total Passenger Weight:
113,0,Total Cargo Weight:
113,40,Tire Pressure:
113,29.28,Frontal Area of Car:
500,57,Outside Temperature:
500,300,Total Passenger Weight:
500,55,Total Cargo Weight:
500,missing,Tire Pressure:
500,29.28,Frontal Area of Car:
519,50,Outside Temperature:
519,115,Total Passenger Weight:
519,0,Total Cargo Weight:
519,missing,Tire Pressure:
519,29.28,Frontal Area of Car:
520,50,Outside Temperature:
520,115,Total Passenger Weight:
520,0,Total Cargo Weight:
520,missing,Tire Pressure:
520,29.28,Frontal Area of Car:
302,40,Outside Temperature:
302,190,Total Passenger Weight:
302,0,Total Cargo Weight:
302,32,Tire Pressure:
302,29.28,Frontal Area of Car:
673,60,Outside Temperature:
673,220,Total Passenger Weight:
673,10,Total Cargo Weight:
673,32,Tire Pressure:
673,26.91,Frontal Area of Car:
112,85,Outside Temperature:
112,150,Total Passenger Weight:
112,0,Total Cargo Weight:
112,40,Tire Pressure:
112,29.28,Frontal Area of Car:
676,55,Outside Temperature:
676,220,Total Passenger Weight:
676,10,Total Cargo Weight:
676,32,Tire Pressure:
676,26.91,Frontal Area of Car:
203,70,Outside Temperature:
203,200,Total Passenger Weight:
203,30,Total Cargo Weight:
203,missing,Tire Pressure:
203,26.91,Frontal Area of Car:
331,63,Outside Temperature:
331,150,Total Passenger Weight:
331,20,Total Cargo Weight:
331,32,Tire Pressure:
331,29.28,Frontal Area of Car:
690,79,Outside Temperature:
690,190,Total Passenger Weight:
690,10,Total Cargo Weight:
690,47,Tire Pressure:
690,29.28,Frontal Area of Car:
202,65,Outside Temperature:
202,200,Total Passenger Weight:
202,30,Total Cargo Weight:
202,missing,Tire Pressure:
202,26.91,Frontal Area of Car:
201,63,Outside Temperature:
201,200,Total Passenger Weight:
201,30,Total Cargo Weight:
201,missing,Tire Pressure:
201,26.91,Frontal Area of Car:
400,65,Outside Temperature:
400,190,Total Passenger Weight:
400,50,Total Cargo Weight:
400,missing,Tire Pressure:
400,26.91,Frontal Area of Car:
518,49,Outside Temperature:
518,215,Total Passenger Weight:
